stdThresh,profitThresh,window,profit,txcount,
1.5,1.03,195,-0.226027,11,
1.5,1.03,210,-0.196466,9,
1.5,1.03,225,-0.0534361,10,
1.5,1.03,240,-0.214443,9,
1.6,1.005,30,-0.300502,36,
1.6,1.005,45,-0.380171,39,
1.6,1.005,60,-0.384361,41,
1.6,1.005,75,-0.260858,36,
1.6,1.005,90,-0.372234,35,
1.6,1.005,105,-0.304852,25,
1.6,1.005,120,-0.253747,21,
1.6,1.005,135,-0.239471,15,
1.6,1.005,150,-0.253939,23,
1.6,1.005,165,-0.254838,17,
1.6,1.005,180,-0.263328,23,
1.6,1.005,195,-0.259715,27,
1.6,1.005,210,-0.242295,23,
1.6,1.005,225,-0.0930428,22,
1.6,1.005,240,-0.236785,21,
1.6,1.006,30,-0.298001,32,
1.6,1.006,45,-0.372959,37,
1.6,1.006,60,-0.376003,39,
1.6,1.006,75,-0.25024,36,
1.6,1.006,90,-0.368277,37,
1.6,1.006,105,-0.304268,23,
1.6,1.006,120,-0.249043,23,
1.6,1.006,135,-0.236588,13,
1.6,1.006,150,-0.248847,25,
1.6,1.006,165,-0.254302,17,
1.6,1.006,180,-0.254914,23,
1.6,1.006,195,-0.254271,27,
1.6,1.006,210,-0.238029,25,
1.6,1.006,225,-0.0925335,22,
1.6,1.006,240,-0.234366,21,
1.6,1.007,30,-0.296196,32,
1.6,1.007,45,-0.369708,31,
1.6,1.007,60,-0.37154,35,
1.6,1.007,75,-0.252494,30,
1.6,1.007,90,-0.363549,29,
1.6,1.007,105,-0.302541,21,
1.6,1.007,120,-0.251872,19,
1.6,1.007,135,-0.236588,13,
1.6,1.007,150,-0.250797,21,
1.6,1.007,165,-0.253126,17,
1.6,1.007,180,-0.254712,21,
1.6,1.007,195,-0.253386,25,
1.6,1.007,210,-0.236704,21,
1.6,1.007,225,-0.0911683,20,
1.6,1.007,240,-0.22979,17,
1.6,1.008,30,-0.296196,32,
1.6,1.008,45,-0.367986,29,
1.6,1.008,60,-0.36916,29,
1.6,1.008,75,-0.250433,28,
1.6,1.008,90,-0.361427,29,
1.6,1.008,105,-0.301853,21,
1.6,1.008,120,-0.249668,19,
1.6,1.008,135,-0.235716,13,
1.6,1.008,150,-0.245957,21,
1.6,1.008,165,-0.251218,13,
1.6,1.008,180,-0.253212,21,
1.6,1.008,195,-0.243621,21,
1.6,1.008,210,-0.228394,19,
1.6,1.008,225,-0.0878098,20,
1.6,1.008,240,-0.232908,15,
1.6,1.009,30,-0.295671,32,
1.6,1.009,45,-0.366983,27,
1.6,1.009,60,-0.368629,27,
1.6,1.009,75,-0.245767,24,
1.6,1.009,90,-0.358942,27,
1.6,1.009,105,-0.300681,21,
1.6,1.009,120,-0.247031,13,
1.6,1.009,135,-0.233855,9,
1.6,1.009,150,-0.244811,15,
1.6,1.009,165,-0.248468,11,
1.6,1.009,180,-0.24856,17,
1.6,1.009,195,-0.242584,19,
1.6,1.009,210,-0.226448,17,
1.6,1.009,225,-0.0801655,18,
1.6,1.009,240,-0.231275,15,
1.6,1.01,30,-0.294143,30,
1.6,1.01,45,-0.365609,25,
1.6,1.01,60,-0.367952,25,
1.6,1.01,75,-0.244408,22,
1.6,1.01,90,-0.358267,23,
1.6,1.01,105,-0.295945,21,
1.6,1.01,120,-0.242533,13,
1.6,1.01,135,-0.229264,9,
1.6,1.01,150,-0.239786,13,
1.6,1.01,165,-0.244242,11,
1.6,1.01,180,-0.246292,13,
1.6,1.01,195,-0.24127,17,
1.6,1.01,210,-0.227388,15,
1.6,1.01,225,-0.0761771,14,
1.6,1.01,240,-0.229497,13,
1.6,1.011,30,-0.294143,30,
1.6,1.011,45,-0.365609,25,
1.6,1.011,60,-0.366559,25,
1.6,1.011,75,-0.244408,22,
1.6,1.011,90,-0.358267,23,
1.6,1.011,105,-0.29535,19,
1.6,1.011,120,-0.242533,13,
1.6,1.011,135,-0.229264,9,
1.6,1.011,150,-0.239786,13,
1.6,1.011,165,-0.244242,11,
1.6,1.011,180,-0.246292,13,
1.6,1.011,195,-0.242093,17,
1.6,1.011,210,-0.224813,15,
1.6,1.011,225,-0.0761771,14,
1.6,1.011,240,-0.229773,13,
1.6,1.012,30,-0.290017,28,
1.6,1.012,45,-0.365609,25,
1.6,1.012,60,-0.362775,25,
1.6,1.012,75,-0.244408,22,
1.6,1.012,90,-0.356673,23,
1.6,1.012,105,-0.29535,19,
1.6,1.012,120,-0.241657,13,
1.6,1.012,135,-0.229264,9,
1.6,1.012,150,-0.239786,13,
1.6,1.012,165,-0.244242,11,
1.6,1.012,180,-0.246292,13,
1.6,1.012,195,-0.240412,17,
1.6,1.012,210,-0.223272,13,
1.6,1.012,225,-0.0710009,14,
1.6,1.012,240,-0.228223,13,
1.6,1.013,30,-0.287862,28,
1.6,1.013,45,-0.364033,25,
1.6,1.013,60,-0.362775,25,
1.6,1.013,75,-0.242531,22,
1.6,1.013,90,-0.356673,23,
1.6,1.013,105,-0.291401,19,
1.6,1.013,120,-0.241657,13,
1.6,1.013,135,-0.232188,7,
1.6,1.013,150,-0.237897,13,
1.6,1.013,165,-0.240008,11,
1.6,1.013,180,-0.24442,13,
1.6,1.013,195,-0.234171,17,
1.6,1.013,210,-0.220014,13,
1.6,1.013,225,-0.0710009,14,
1.6,1.013,240,-0.223899,13,
1.6,1.014,30,-0.287862,28,
1.6,1.014,45,-0.364033,25,
1.6,1.014,60,-0.362775,25,
1.6,1.014,75,-0.242531,22,
1.6,1.014,90,-0.356673,23,
1.6,1.014,105,-0.289211,17,
1.6,1.014,120,-0.241657,13,
1.6,1.014,135,-0.232188,7,
1.6,1.014,150,-0.236382,11,
1.6,1.014,165,-0.240008,11,
1.6,1.014,180,-0.24442,13,
1.6,1.014,195,-0.235826,17,
1.6,1.014,210,-0.22086,13,
1.6,1.014,225,-0.0710009,14,
1.6,1.014,240,-0.22119,11,
1.6,1.015,30,-0.287039,28,
1.6,1.015,45,-0.363298,25,
1.6,1.015,60,-0.358218,25,
1.6,1.015,75,-0.241655,22,
1.6,1.015,90,-0.351804,23,
1.6,1.015,105,-0.288389,17,
1.6,1.015,120,-0.244214,11,
1.6,1.015,135,-0.232188,7,
1.6,1.015,150,-0.235499,11,
1.6,1.015,165,-0.238296,11,
1.6,1.015,180,-0.243546,13,
1.6,1.015,195,-0.232857,15,
1.6,1.015,210,-0.219567,13,
1.6,1.015,225,-0.0755042,12,
1.6,1.015,240,-0.219436,11,
1.6,1.016,30,-0.28458,28,
1.6,1.016,45,-0.361535,25,
1.6,1.016,60,-0.360103,25,
1.6,1.016,75,-0.239555,22,
1.6,1.016,90,-0.353149,23,
1.6,1.016,105,-0.294852,15,
1.6,1.016,120,-0.242965,11,
1.6,1.016,135,-0.231097,7,
1.6,1.016,150,-0.233381,11,
1.6,1.016,165,-0.235669,11,
1.6,1.016,180,-0.240937,13,
1.6,1.016,195,-0.228154,15,
1.6,1.016,210,-0.215376,13,
1.6,1.016,225,-0.0755042,12,
1.6,1.016,240,-0.215697,11,
1.6,1.017,30,-0.287575,26,
1.6,1.017,45,-0.360905,25,
1.6,1.017,60,-0.363874,23,
1.6,1.017,75,-0.238805,22,
1.6,1.017,90,-0.352831,23,
1.6,1.017,105,-0.294157,15,
1.6,1.017,120,-0.242965,11,
1.6,1.017,135,-0.230339,7,
1.6,1.017,150,-0.232625,11,
1.6,1.017,165,-0.245296,9,
1.6,1.017,180,-0.240282,13,
1.6,1.017,195,-0.227393,15,
1.6,1.017,210,-0.21724,13,
1.6,1.017,225,-0.0745923,12,
1.6,1.017,240,-0.21502,11,
1.6,1.018,30,-0.286829,26,
1.6,1.018,45,-0.359698,23,
1.6,1.018,60,-0.363874,23,
1.6,1.018,75,-0.237367,20,
1.6,1.018,90,-0.349059,21,
1.6,1.018,105,-0.293418,15,
1.6,1.018,120,-0.24324,11,
1.6,1.018,135,-0.229533,7,
1.6,1.018,150,-0.231176,9,
1.6,1.018,165,-0.244506,9,
1.6,1.018,180,-0.239269,11,
1.6,1.018,195,-0.223232,11,
